Alleles Observed-SFS Expected
0 0.992420 0.992423
1 0.002663 0.002587
2 0.001019 0.001099
3 0.000528 0.000584
4 0.000418 0.000384
5 0.000277 0.000284
6 0.000249 0.000224
7 0.000181 0.000184
8 0.000151 0.000156
9 0.000128 0.000135
10 0.000135 0.000119
11 0.000101 0.000107
12 0.000100 0.000096
13 0.000098 0.000088
14 0.000101 0.000081
15 0.000084 0.000075
16 0.000080 0.000070
17 0.000062 0.000065
18 0.000048 0.000061
19 0.000046 0.000058
20 0.000068 0.000055
21 0.000057 0.000052
22 0.000046 0.000050
23 0.000052 0.000048
24 0.000044 0.000046
25 0.000027 0.000044
26 0.000032 0.000043
27 0.000043 0.000041
28 0.000037 0.000040
29 0.000028 0.000039
30 0.000044 0.000038
31 0.000032 0.000037
32 0.000037 0.000036
33 0.000041 0.000035
34 0.000037 0.000035
35 0.000036 0.000034
36 0.000036 0.000033
37 0.000021 0.000033
38 0.000039 0.000032
39 0.000028 0.000032
40 0.000034 0.000031
41 0.000032 0.000031
42 0.000032 0.000031
43 0.000037 0.000031
44 0.000025 0.000030
45 0.000034 0.000030
46 0.000020 0.000030
47 0.000034 0.000030
48 0.000046 0.000030
49 0.000020 0.000030
50 0.000012 0.000015
