Alleles Observed-SFS Expected
0 0.992155 0.992230
1 0.002988 0.002753
2 0.001054 0.001206
3 0.000613 0.000649
4 0.000452 0.000421
5 0.000299 0.000305
6 0.000224 0.000236
7 0.000220 0.000191
8 0.000139 0.000159
9 0.000142 0.000136
10 0.000121 0.000118
11 0.000107 0.000104
12 0.000082 0.000093
13 0.000080 0.000083
14 0.000066 0.000076
15 0.000052 0.000069
16 0.000055 0.000064
17 0.000057 0.000059
18 0.000071 0.000055
19 0.000060 0.000052
20 0.000046 0.000049
21 0.000064 0.000046
22 0.000044 0.000044
23 0.000032 0.000042
24 0.000046 0.000040
25 0.000044 0.000038
26 0.000039 0.000037
27 0.000050 0.000035
28 0.000028 0.000034
29 0.000032 0.000033
30 0.000036 0.000032
31 0.000027 0.000031
32 0.000025 0.000030
33 0.000030 0.000029
34 0.000021 0.000029
35 0.000021 0.000028
36 0.000014 0.000027
37 0.000030 0.000027
38 0.000021 0.000026
39 0.000030 0.000026
40 0.000027 0.000026
41 0.000021 0.000025
42 0.000023 0.000025
43 0.000021 0.000025
44 0.000018 0.000025
45 0.000039 0.000024
46 0.000037 0.000024
47 0.000023 0.000024
48 0.000028 0.000024
49 0.000030 0.000024
50 0.000012 0.000012
