Alleles Observed-SFS Expected
0 0.998958 0.998977
1 0.000670 0.000586
2 0.000107 0.000169
3 0.000053 0.000070
4 0.000030 0.000036
5 0.000018 0.000022
6 0.000014 0.000015
7 0.000005 0.000011
8 0.000016 0.000009
9 0.000005 0.000007
10 0.000002 0.000006
11 0.000005 0.000005
12 0.000002 0.000005
13 0.000014 0.000004
14 0.000014 0.000004
15 0.000005 0.000004
16 0.000011 0.000004
17 0.000009 0.000003
18 0.000004 0.000003
19 0.000004 0.000003
20 0.000002 0.000003
21 0.000002 0.000003
22 0.000000 0.000003
23 0.000000 0.000002
24 0.000005 0.000002
25 0.000000 0.000002
26 0.000002 0.000002
27 0.000002 0.000002
28 0.000002 0.000002
29 0.000004 0.000002
30 0.000002 0.000002
31 0.000009 0.000002
32 0.000004 0.000002
33 0.000004 0.000002
34 0.000002 0.000002
35 0.000002 0.000002
36 0.000000 0.000002
37 0.000000 0.000002
38 0.000002 0.000002
39 0.000002 0.000002
40 0.000000 0.000002
41 0.000004 0.000002
42 0.000000 0.000002
43 0.000000 0.000002
44 0.000004 0.000002
45 0.000000 0.000002
46 0.000000 0.000002
47 0.000002 0.000002
48 0.000000 0.000002
49 0.000002 0.000002
50 0.000000 0.000001
