Alleles Observed-SFS Expected
0 0.998005 0.998005
1 0.001243 0.000950
2 0.000203 0.000295
3 0.000080 0.000129
4 0.000059 0.000072
5 0.000043 0.000047
6 0.000021 0.000035
7 0.000016 0.000029
8 0.000032 0.000024
9 0.000011 0.000022
10 0.000027 0.000019
11 0.000011 0.000018
12 0.000005 0.000016
13 0.000021 0.000015
14 0.000016 0.000014
15 0.000005 0.000014
16 0.000005 0.000013
17 0.000016 0.000012
18 0.000000 0.000012
19 0.000011 0.000011
20 0.000000 0.000011
21 0.000016 0.000010
22 0.000021 0.000010
23 0.000011 0.000010
24 0.000000 0.000010
25 0.000000 0.000009
26 0.000000 0.000009
27 0.000000 0.000009
28 0.000005 0.000009
29 0.000005 0.000008
30 0.000011 0.000008
31 0.000011 0.000008
32 0.000011 0.000008
33 0.000005 0.000008
34 0.000011 0.000008
35 0.000005 0.000008
36 0.000000 0.000008
37 0.000000 0.000007
38 0.000016 0.000007
39 0.000005 0.000007
40 0.000016 0.000007
41 0.000000 0.000007
42 0.000005 0.000007
43 0.000000 0.000007
44 0.000005 0.000007
45 0.000000 0.000007
46 0.000005 0.000007
47 0.000000 0.000007
48 0.000000 0.000007
49 0.000005 0.000007
50 0.000000 0.000003
