Alleles Observed-SFS Expected
0 0.998588 0.998591
1 0.000741 0.000720
2 0.000219 0.000246
3 0.000144 0.000121
4 0.000060 0.000071
5 0.000046 0.000045
6 0.000025 0.000031
7 0.000025 0.000022
8 0.000004 0.000017
9 0.000012 0.000013
10 0.000005 0.000010
11 0.000009 0.000008
12 0.000007 0.000007
13 0.000004 0.000006
14 0.000004 0.000005
15 0.000009 0.000005
16 0.000000 0.000004
17 0.000005 0.000004
18 0.000011 0.000004
19 0.000000 0.000003
20 0.000000 0.000003
21 0.000000 0.000003
22 0.000002 0.000003
23 0.000000 0.000003
24 0.000000 0.000003
25 0.000005 0.000003
26 0.000002 0.000002
27 0.000004 0.000002
28 0.000002 0.000002
29 0.000004 0.000002
30 0.000004 0.000002
31 0.000002 0.000002
32 0.000002 0.000002
33 0.000000 0.000002
34 0.000002 0.000002
35 0.000000 0.000002
36 0.000004 0.000002
37 0.000000 0.000002
38 0.000000 0.000002
39 0.000004 0.000002
40 0.000005 0.000002
41 0.000005 0.000002
42 0.000002 0.000002
43 0.000005 0.000002
44 0.000009 0.000002
45 0.000004 0.000002
46 0.000000 0.000002
47 0.000005 0.000002
48 0.000005 0.000002
49 0.000007 0.000002
50 0.000000 0.000001
