Alleles Observed-SFS Expected
0 0.996652 0.996660
1 0.001552 0.001459
2 0.000521 0.000553
3 0.000220 0.000294
4 0.000169 0.000184
5 0.000092 0.000126
6 0.000089 0.000091
7 0.000076 0.000069
8 0.000048 0.000054
9 0.000041 0.000044
10 0.000048 0.000036
11 0.000036 0.000031
12 0.000028 0.000026
13 0.000032 0.000023
14 0.000018 0.000020
15 0.000025 0.000018
16 0.000030 0.000017
17 0.000014 0.000015
18 0.000018 0.000014
19 0.000011 0.000013
20 0.000014 0.000012
21 0.000014 0.000012
22 0.000011 0.000011
23 0.000012 0.000011
24 0.000005 0.000010
25 0.000011 0.000010
26 0.000009 0.000009
27 0.000002 0.000009
28 0.000009 0.000009
29 0.000016 0.000009
30 0.000009 0.000008
31 0.000002 0.000008
32 0.000007 0.000008
33 0.000012 0.000008
34 0.000005 0.000008
35 0.000005 0.000008
36 0.000009 0.000007
37 0.000007 0.000007
38 0.000011 0.000007
39 0.000009 0.000007
40 0.000011 0.000007
41 0.000012 0.000007
42 0.000009 0.000007
43 0.000009 0.000007
44 0.000007 0.000007
45 0.000012 0.000007
46 0.000012 0.000007
47 0.000011 0.000007
48 0.000004 0.000007
49 0.000007 0.000007
50 0.000005 0.000003
