Alleles Observed-SFS Expected
0 0.991435 0.991435
1 0.003077 0.002858
2 0.001216 0.001335
3 0.000683 0.000797
4 0.000512 0.000537
5 0.000363 0.000389
6 0.000309 0.000295
7 0.000181 0.000232
8 0.000160 0.000187
9 0.000176 0.000154
10 0.000139 0.000130
11 0.000155 0.000111
12 0.000112 0.000097
13 0.000123 0.000085
14 0.000091 0.000076
15 0.000091 0.000069
16 0.000075 0.000063
17 0.000080 0.000058
18 0.000032 0.000054
19 0.000043 0.000050
20 0.000037 0.000047
21 0.000048 0.000045
22 0.000021 0.000043
23 0.000037 0.000041
24 0.000048 0.000039
25 0.000064 0.000038
26 0.000027 0.000037
27 0.000032 0.000036
28 0.000021 0.000035
29 0.000048 0.000034
30 0.000032 0.000033
31 0.000016 0.000032
32 0.000032 0.000032
33 0.000027 0.000031
34 0.000005 0.000031
35 0.000032 0.000030
36 0.000027 0.000030
37 0.000021 0.000029
38 0.000037 0.000029
39 0.000043 0.000029
40 0.000027 0.000028
41 0.000048 0.000028
42 0.000027 0.000028
43 0.000032 0.000028
44 0.000032 0.000028
45 0.000021 0.000028
46 0.000011 0.000027
47 0.000032 0.000027
48 0.000032 0.000027
49 0.000016 0.000027
50 0.000016 0.000014
